id,var-origin,var-lh,label
293,j047,j047-saude,Este atendimento foi coberto por algum plano de saúde
294,j048,j048-saude,"___pagou algum valor por este atendimento? (Entrevistador: se o(a) entrevistado(a) responder que pagou, mas teve reembolso total, marque a opção 2) "
295,j049,j049-saude,Este atendimento foi feito através do Sistema Único de Saúde (SUS)
296,j051,j051-saude,"Neste atendimento, ___ foi transportado por ambulância para um serviço de saúde"
297,j052,j052-saude,O transporte foi feito por
298,j05301,j05301-saude,"Nos últimos doze meses, ___ utilizou tratamento como acupuntura, homeopatia, plantas medicinais e fitoterapia, meditação, yoga, tai chi chuan, lian gong ou outra prática integrativa e complementar a saúde?"
299,j054010,j054010-saude,Qual tratamento _________ fez uso Outro
300,j05402,j05402-saude,Qual tratamento _________ fez uso Acupuntura
301,j05403,j05403-saude,Qual tratamento _________ fez uso Homeopatia
302,j05404,j05404-saude,Qual tratamento _________ fez uso plantas medicinais e fitoterapia
303,j05405,j05405-saude,Qual tratamento _________ fez uso auriculoterapia
304,j05406,j05406-saude,Qual tratamento _________ fez uso meditação
305,j05407,j05407-saude,Qual tratamento _________ fez uso Yoga
306,j05408,j05408-saude,"Qual tratamento _________ fez uso Tai chi chuan, Lian gong, Qi gong"
307,j05409,j05409-saude,Qual tratamento _________ fez uso Terapia comunitária integrativa
308,j056,j056-saude,___ pagou algum valor por este(s) tratamento(s) 
309,j057,j057-saude,Este(s) tratamento(s) foi (foram) feito(s) através do Sistema Único de Saúde (SUS):
310,j060,j060-saude-info,Informante do Módulo J
311,k001,k001-abvd,"Em geral, que grau de dificuldade ___ tem para comer sozinho (a) com um prato colocado à sua frente, incluindo segurar um garfo, cortar alimentos e beber em um copo"
312,k004,k004-abvd,"Em geral, que grau de dificuldade ___ tem para tomar banho sozinho(a) incluindo entrar e sair do chuveiro ou banheira"
313,k007,k007-abvd,"Em geral, que grau de dificuldade ___ tem para ir ao banheiro sozinho(a) incluindo sentar e levantar do vaso sanitário"
314,k010,k010-abvd,"Em geral, que grau de dificuldade ___ tem para se vestir sozinho(a), incluindo calçar meias e sapatos, fechar o zíper, e fechar e abrir botões"
315,k013,k013-abvd,"Em geral, que grau de dificuldade ___ tem para andar em casa sozinho(a) de um cômodo a outro em um mesmo andar, como do quarto para a sala"
316,k016,k016-abvd,"Em geral, que grau de dificuldade ___ tem para deitar-se ou levantar-se da cama sozinho(a)"
317,k019,k019-abvd,"Em geral, que grau de dificuldade ___ tem para sentar-se ou levantar-se da cadeira sozinho"
318,k01901,k01901-abvd,"___ precisa de ajuda para realizar alguma(s) destas atividades (comer, tomar banho, ir ao banheiro, se vestir, andar em casa de um cômodo ao outro, deitar-se ou levantar-se da cama sozinho, sentar ou levantar da cadeira sozinho)"
319,k02001,k02001-abvd, ___  recebe ajuda para realizar alguma(s) destas atividades
320,k02101,k02101-abvd,"Na maioria das vezes, quem presta ajuda a ___ para realizar algumas dessas atividades"
321,k02102,k02102-abvd,Essa pessoa que lhe presta ajuda é remunerada por este serviço
322,k022,k022-abvd,"Em geral, que grau de dificuldade ___ tem para fazer compras sozinho(a), por exemplo de alimentos, roupas ou medicamentos"
323,k025,k025-abvd,"Em geral, que grau de dificuldade ___ tem para administrar as finanças sozinho(a) (cuidar do seu próprio dinheiro)"
324,k028,k028-abvd,"Em geral, que grau de dificuldade ___ tem para tomar os remédios sozinho (a) (Engolir o remédio, organizar horário e capacidade de lembrar de tomar o remédio) "
325,k031,k031-abvd,"Em geral, que grau de dificuldade ___ tem para ir ao médico sozinho(a)"
326,k034,k034-abvd,"Em geral, que grau de dificuldade ___ tem para sair sozinho(a) utilizando um transporte como ônibus, metrô, táxi, carro, etc."
327,k03401,k03401-abvd,___ pagou algum valor por este atendimento de saúde recebido nas duas últimas semanas 
328,k03501,k03501-abvd,___  recebe ajuda para realizar alguma(s) destas atividades
329,k03601,k03601-abvd,"Na maioria das vezes, quem presta ajuda a ___ para realizar algumas dessas atividades?"
330,k03602,k03602-abvd,Essa pessoa que lhe presta ajuda é remunerada por este serviço?
331,k04301,k04301-abvd,____________ faz uso de algum outro aparelho de auxílio para lidar com problemas de visão? 
332,k04302,k04302-abvd,"Quantos medicamentos diferentes de uso regular ou contínuo, receitados pelo médico, ___ usou nas duas últimas semanas"
333,k04401,k04401-abvd,Quando foi a última vez que ___ fez exame de vista por profissional de saúde
334,k045,k045-abvd,Algum médico já deu a ___ diagnóstico de catarata em uma ou em ambas as vistas
335,k046,k046-abvd,Houve indicação para realização de cirurgia nos olhos para retirar a catarata
336,k047,k047-abvd,___ fez a cirurgia
337,k048,k048-abvd,Qual o principal motivo do(a) ___ não ter feito a cirurgia de catarata
338,k050,k050-abvd,___ pagou algum valor pela cirurgia
339,k051,k051-abvd,A cirurgia foi feita através do Sistema Único de Saúde (SUS)
340,k052,k052-abvd,"Nos últimos doze meses, ___ tomou vacina contra gripe"
341,k05302,k05302-abvd,Qual o principal motivo por não ter tomado a vacina contra gripe
342,k05401,k05401-abvd,"Nos últimos doze meses, ___ teve alguma queda"
343,k05402,k05402-abvd,"Nos últimos doze meses, na ocasião dessa(as) queda(as) ocorrida(s) ___ procurou o serviço de saúde"
344,k055,k055-abvd,"Na ocasião dessa(s) queda(s) nos últimos doze meses, ___ fraturou quadril ou fêmur"
345,k05601,k05601-abvd,____ fez cirurgia por causa dessa fratura
346,k05602,k05602-abvd,___ teve colocação de prótese
347,k062,k062-abvd-info,Informante do Módulo K
348,l01701,l01701-gesta-d,Leite materno?
349,l01702,l01702-gesta-d,Outro leite ou derivados de leite?
350,l01703,l01703-gesta-d,Água?
351,l01704,l01704-gesta-d,Chá?
352,l01705,l01705-gesta-d,Mingau?
353,l01706,l01706-gesta-d,Frutas ou suco natural de frutas?
354,l01707,l01707-gesta-d,Sucos artificiais?
355,l01708,l01708-gesta-d,Verduras/legumes?
356,l01709,l01709-gesta-d,"Feijão ou outras leguminosas (lentilha, ervilha etc)?"
357,l01710,l01710-gesta-d,Carnes ou ovos?
358,l01711,l01711-gesta-d,"Batata e outros tubérculos e raízes (batata doce, mandioca)?"
359,l01712,l01712-gesta-d,"Cereais e derivados (arroz, pão, cereal, macarrão, farinha, etc)?"
360,l01713,l01713-gesta-d,Biscoitos ou bolachas ou bolo?
361,l01714,l01714-gesta-d,"Doces, balas ou outros alimentos com açúcar?"
362,l01715,l01715-gesta-d,Refrigerantes?
363,l01716,l01716-gesta-d,Outros?
364,l018,l018-gesta-desde,"Desde que ___________nasceu, tomou ou comeu outro alimento que não leite materno? "
365,l019,l019-gesta-pn,Alguma vez ___________ recebeu Sulfato Ferroso? 
366,l021,l021-gesta-pn1,Foi realizado o teste do pezinho? 
367,l022,l022-gesta-pn2,Quando foi realizado o teste do pezinho? 
368,l023,l023-gesta-pn3,"Quanto tempo depois da realização do teste do pezinho, recebeu o resultado? "
369,l024,l024-gesta-pn4,Foi realizado o teste de orelhinha? 
370,l025,l025-gesta-pn5,Quando foi realizado o teste da orelhinha? 
371,l026,l026-gesta-pn6,Quanto tempo depois da realização do teste da orelhinha você recebeu o resultado? 
372,l027,l027-gesta-pn7,Foi realizado o teste do olhinho? 
373,l028,l028-gesta-pn8,O teste do olhinho foi realizado nas primeiras 24 horas de vida?
374,l029,l029-gesta-pn9,Recebeu o resultado do olhinho na hora em que o exame foi realizado? 
375,l030,l030-gesta-pn10,Foi realizado o teste do coraçãozinho? 
376,l031,l031-gesta-pn11,O teste do coraçãozinho foi realizado entre 24 e 48 horas de vida quando ele (a) ainda estava na maternidade?
377,l032,l032-gesta-pn12,Recebeu o resultado do teste do coraçãozinho realizado? 
378,l033,l033-gesta-pn13,O teste do coraçãozinho realizado deu resultado alterado? 
379,l034,l034-gesta-pn14,Fez exame complementar?
380,l035,l035-gesta-pn15,Recebeu o cartão de vacinação ou caderneta de saúde da criança? 
381,l036,l036-gesta-pn16,O(A) morador(a) mostrou a caderneta de saúde da criança
382,l037,l037-gesta-pn-vac,"Vacina Penta (também chamada de Pentavalente, DTP/Hib/HB)"
383,l038,l038-gesta-pn-vac,"Vacina Poliomielite (também chamada de gotinha, VIP, VOP, PÓLIO, ANTIPÓLIO, POLIOMIELITE, SABIN) "
384,l039,l039-gesta-pn-vac,"Vacina Pneumocócica (também chamada de Pneumo 10, Pneumo 13, Pncc)"
385,l040,l040-gesta-pn-vac,"Vacina Tríplice Viral (também chamada SCR, TRIVIRAL, TV, MMR). "
386,l042,l042-gesta-pn-vac,O informante desta parte foi:
387,m001,m001-saude-geral,Entrevista do adulto selecionado
388,m002,m002-saude-geral,Identificação da mãe do morador selecionado
389,m00203,m00203-saude-geral,Morador selecionado está apto para responder? 
390,m00302,m00302-saude-geral,O informante desta parte é:
391,m00303,m00303-saude-geral,"Normalmente, quantos dias na semana o(a) Sr(a) se desloca(va) de casa para o(s) trabalho(s)"
392,m00401,m00401-saude-geral,"Quanto tempo em horas o(a) Sr(a) gasta(va), normalmente, por dia, no deslocamento para o(s) seu(s) trabalho(s), considerando ida e volta"
393,m00402,m00402-saude-geral,"Quanto tempo em minutos o(a) Sr(a) gasta, normalmente, por dia, no deslocamento para o(s) seu(s) trabalho(s), considerando ida e volta"
394,m005010,m005010-saude-geral,"No(s) seu(s) trabalho(s), habitualmente, (s) o(a) Sr(a) trabalha(va) algum período de tempo entre as 8 horas da noite e às 5 horas da manhã"
395,m005011,m005011-saude-geral,"Quantas horas trabalha(va) por dia, habitualmente, no período de 8 horas da noite e 5 horas da manhã"
396,m00601,m00601-saude-geral,"Com que frequência, habitualmente, o(a) Sr(a) trabalha(va) no horário entre 8 horas da noite e 5 horas da manhã em algum dos seus trabalhos"
397,m007,m007-saude-geral,"Em algum dos seus trabalhos, o(a) Sr(a) trabalha(va) em regime de turnos ininterruptos, isto é, por 24 horas seguidas"
398,m008,m008-saude-geral,Com que frequência o(a) Sr(a) trabalha(va) por 24 horas seguidas
399,m009,m009-saude-geral,O(a) Sr(a) normalmente trabalha(va) em ambientes
400,m01001,m01001-saude-geral-fumo,"Nos últimos 30 dias, alguém fumou no mesmo ambiente fechado onde o(a) Sr(a) trabalhava (todos os trabalhos)"
401,m011011,m011011-saude-geral-quimio,"No(s) seu(s) trabalho(s), o(a) Sr(a) está(estava) exposto(a) a algum destes fatores que podem afetar a sua saúde. Manuseio de substâncias químicas (agrotóxicos, gasolina, diesel, formol, chumbo, mercúrio, cromo, quimioterápicos etc.)"
402,m011021,m011021-saude-geral,"No(s) seu(s) trabalho(s), o(a) Sr(a) está exposto(a) a algum destes fatores que podem afetar a sua saúde Exposição a ruído (barulho intenso) "
403,m011031,m011031-saude-geral,"No(s) seu(s) trabalho(s), o(a) Sr(a) está exposto(a) a algum destes fatores que podem afetar a sua saúde Exposição longa ao sol"
404,m011041,m011041-saude-geral,"No(s) seu(s) trabalho(s), o(a) Sr(a) está exposto(a) a algum destes fatores que podem afetar a sua saúde Manuseio de material radioativo (transporte, recebimento, armazenagem, trabalho com raio-x)"
405,m011051,m011051-saude-geral,"No(s) seu(s) trabalho(s), o(a) Sr(a) está exposto(a) a algum destes fatores que podem afetar a sua saúde Manuseio de resíduos urbanos (lixo) "
406,m011061,m011061-saude-geral,"No(s) seu(s) trabalho(s), o(a) Sr(a) está exposto(a) a algum destes fatores que podem afetar a sua saúde Exposição a material biológico (sangue, agulhas, secreções)"
407,m011071,m011071-saude-geral,"No(s) seu(s) trabalho(s), o(a) Sr(a) está exposto(a) a algum destes fatores que podem afetar a sua saúde Exposição à poeira mineral (pó de mármore, de areia, de brita, de vidro (sílica), de amianto (asbesto), de ferro ou aço)"
408,m01401,m01401-saude-geral,Com quantos familiares ou parentes ___ pode contar em momentos bons ou ruins
409,m01501,m01501-saude-geral,Com quantos amigos próximos ___ pode contar em momentos bons ou ruins (Sem considerar os familiares ou parentes
410,m01601,m01601-saude-geral,"Nos últimos doze meses, com que frequência o(a) Sr(a) se reuniu com outras pessoas para prática de atividades esportivas, exercícios físicos, recreativos ou artísticos"
411,m01701,m01701-saude-geral,"Nos últimos doze meses, com que frequência o(a) Sr(a) participou de reuniões de grupos como associações de moradores ou funcionários, movimentos sociais/comunitários, centros acadêmicos ou similares"
412,m01801,m01801-saude-geral,"Nos últimos 12 meses, com que frequência o(a) Sr(a) fez trabalho voluntário não remunerado"
413,m01901,m01901-saude-geral,"Nos últimos doze meses, com que frequência o(a) Sr(a) compareceu a atividades coletivas da sua religião ou de outra religião sem contar com situações como casamento, batizado, ou enterro)"
414,n001,n001-saude-geral-aa,"Em geral, como o(a) Sr(a) avalia a sua saúde"
415,n00101,n00101-saude-geral-aa-c,"Considerando saúde como um estado de bem-estar físico e mental, e não somente a ausência de doenças, como você avalia o seu estado de saúde? "
416,n004,n004-saude-geral,"Quando o(a) Sr(a) sobe uma ladeira, um lance de escadas ou caminha rápido no plano, sente dor ou desconforto no peito"
417,n005,n005-saude-geral,"Quando o(a) Sr(a) caminha em lugar plano, em velocidade normal, sente dor ou desconforto no peito"
418,n006,n006-saude-geral,O que o(a) Sr(a) faz se sente dor ou desconforto no peito
419,n00701,n00701-saude-geral,"Quando o(a) Sr(a) para, o que acontece com a dor ou desconforto no peito"
420,n008,n008-saude-geral,O(A) Sr(a) pode me mostrar onde geralmente sente essa dor/desconforto no peito
421,n010,n010-saude-geral,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas no sono, como dificuldade para adormecer, acordar frequentemente à noite ou dormir mais do que de costume?"
422,n011,n011-saude-geral,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas por não se sentir descansado(a) e disposto(a) durante o dia, sentindo-se cansado(a), sem ter energia? "
423,n012,n012-saude-geral,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve pouco interesse ou não senitiu prazer em fazer as coisas? "
424,n013,n013-saude-geral,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas para se concentrar nas suas atividades habituais? "
425,n014,n014-saude-geral,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas na alimentação, como ter falta de apetite ou comer muito mais do que de costume?"
426,n015,n015-saude-geral,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve lentidão para se movimentar ou falar, ou ao contrário ficou muito agitado(a) ou inquieto(a)?"
427,n016,n016-saude-geral,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu deprimido(a), “pra baixo” ou sem perspectiva?"
428,n017,n017-saude-geral,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu mal consigo mesmo, se achando um fracasso ou achando que decepcionou sua família?"
429,n018,n018-saude-geral,"Nas duas últimas semanas, com que frequência o(a) Sr(a) pensou em se ferir de alguma maneira ou achou que seria melhor estar morto?"
430,o00101,o00101-transp,"Atualmente, o(a) Sr(a) dirige automóvel (inclusive táxi, aplicativos de transporte e similares)"
431,o00201,o00201-transp,"Atualmente, o(a) Sr(a) dirige motocicleta"
432,o00401,o00401-transp,"Com que frequência o(a) Sr(a) usa cinto de segurança quando dirige automóvel (inclusive táxi, aplicativos de transporte e similares)?"
433,o00402,o00402-transp,"Com que frequência o(a) Sr(a) usa cinto de segurança quando anda no banco da frente como passageiro de automóvel (inclusive táxi, aplicativos de transporte e similares)?"
434,o00501,o00501-transp,"Com que frequência o(a) Sr(a) usa cinto de segurança quando anda no banco de trás de automóvel (inclusive táxi, aplicativos de transporte e similares)?"
435,o00701,o00701-transp,Com que frequência o(a) Sr(a) usa capacete quando dirige motocicleta
436,o00801,o00801-transp,Com que frequência o(a) Sr(a) usa capacete quando anda como passageiro de motocicleta
437,o00802,o00802-transp,"Com que frequência o (a) senhor (a) manuseia o celular durante a condução de moto ou automóvel (inclusive táxi, aplicativos de transporte e similares)?"
438,o00803,o00803-transp,"Com que frequência o (a) senhor (a) conduz moto ou automóvel (inclusive táxi, aplicativos de transporte e similares) acima da velocidade da via?"
439,o009,o009-transp,"Nos últimos doze meses, o(a) Sr(a) se envolveu em algum acidente de trânsito no qual tenha sofrido lesões corporais (ferimentos)"
440,o00901,o00901-transp,Quantos
441,o010,o010-transp,"Algum desses acidentes de trânsito ocorreu quando o(a) Sr(a) estava trabalhando, indo ou voltando do trabalho"
442,o01102,o01102-transp,"Durante o acidente de trânsito ocorrido nos últimos 12 meses, o(a) Sr(a) era: (Se houver mais de um, considere o mais grave)"
443,o01401,o01401-transp,"Por causa deste acidente de trânsito o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola etc.)? "
444,o01501,o01501-transp,"Para este acidente de trânsito, o(a) Sr(a) recebeu algum tipo de atendimento de saúde?"
445,o01602,o01602-transp,Onde o(a) Sr(a) recebeu o primeiro atendimento de saúde
446,o01702,o01702-transp,Quem lhe prestou atendimento no local do acidente
447,o019,o019-transp,"Por causa deste acidente de trânsito, o(a) Sr(a) precisou ser internado por 24 horas ou mais? (Se houver mais de um, considere o mais grave)"
448,o02001,o02001-transp,"O Sr(a) tem alguma sequela física permanente decorrente deste acidente de trânsito? (Se houver mais de um, considere o mais grave)"
449,o021,o021-transp,Nos últimos doze meses o(a) Sr(a) se envolveu em algum acidente de trabalho? (Sem considerar os acidentes de trânsito e/ou de deslocamento para o trabalho)
450,o02101,o02101-transp,Quantos
451,o02201,o02201-transp,"Como consequência desse acidente de trabalho, o(a) Sr(a) deixou de realizar quaisquer de suas atividades habituais (trabalhar, realizar afazeres domésticos, ir à escola etc.)?"
452,o023,o023-transp,"Por causa deste acidente de trabalho, o(a) Sr(a) precisou ser internado por 24 horas ou mais? (Se houver mais de um, considere o mais grave)"
453,o02401,o02401-transp,O(A) Sr(a) tem alguma sequela física permanente decorrente desse acidente de trabalho
454,p00102,p00102-p,O(A) Sr(a) sabe seu peso? 
455,p00103,p00103-pi-kg,Peso - Informado (em kg)
456,p00104,p00104-pf-kg,Peso - Final (em kg)
457,p00201,p00201-p-dt-ult,Quanto tempo faz que o(a) Sr(a) se pesou da última vez? 
458,p00402,p00402-a,O(A) Sr(a) sabe sua altura? (mesmo que seja valor aproximado) 
459,p00403,p00403-ai-cm,Altura - Informada (em cm)
460,p00404,p00404-af-cm,Altura - Final (em cm)
461,p00405,p00405-a-i,Marca de imputação para altura e/ou peso referido
462,p005,p005-t-grav,A Sra está grávida no momento?
463,p006,p006-d-cp,Em quantos dias da semana o(a) Sr(a) costuma comer feijão? 
464,p00601,p00601-d-cp,"Ontem o(a) Sr(a) comeu arroz, macarrão, polenta, cuscuz ou milho verde. "
465,p00602,p00602-d-cp,"Batata comum, mandioca/aipim/macaxeira, cará ou inhame."
466,p00603,p00603-d-cp,"Feijão, ervilha, lentilha ou grão de bico."
467,p00604,p00604-d-cp,"Carne de boi, porco, frango, peixe"
468,p00605,p00605-d-cp,"Ovo (frito, cozido ou mexido ). "
469,p00607,p00607-d-cp,"Alface, couve, brócolis, agrião ou espinfre."
470,p00608,p00608-d-cp,"Abóbora, cenoura, batata doce ou quiabo/caruru. "
471,p00609,p00609-d-cp,"Tomate, pepino, abobrinha, berinjela, chuchu ou beterraba. "
472,p00610,p00610-d-cp,"Mamão, manga, melão amarelo ou pequi. "
473,p00611,p00611-d-cp,"Laranja, banana, maçã, abacaxi. "
474,p00612,p00612-d-cp,Leite
475,p00613,p00613-d-cp,"Amendoim, castanha de caju ou castanha do Brasil/Pará "
476,p00614,p00614-d-cp,ONTEM o(a) Sr(a) tomou ou comeu:Refrigerante
477,p00615,p00615-d-cp,Suco de fruta em caixinha ou lata ou refresco em pó. 
478,p00616,p00616-d-cp,Bebida achocolatada ou iogurte com sabor. 
479,p00617,p00617-d-cp,Salgadinho de pacote ou biscoito/bolacha salgado.
480,p00618,p00618-d-cp,Biscoito/bolacha doce ou recheado ou bolo de pacote. 
481,p00619,p00619-d-cp,"Sorvete, chocolate, gelatina, flan ou outra sobremesa industrializada."
482,p00620,p00620-d-cp,"Salsicha, linguiça, mortadela ou presunto. "
483,p00621,p00621-d-cp,"Pão de forma, de cachorro-quente ou de hambúrguer."
484,p00622,p00622-d-cp,"Margarina, maionese, ketchup ou outros molhos industrializados. "
485,p00623,p00623-d-cp,"Macarrão instantâneo, sopa de pacote, lasanha congelada ou outro prato congelado comprado pronto industrilizado."
486,p00901,p00901-d-cp,"Em quantos dias da semana, o(a) Sr(a) costuma comer pelo menos um tipo de verdura ou legume (sem contar batata, mandioca, cará ou inhame) como alface, tomate, couve, cenoura, chuchu, berinjela, abobrinha? "
487,p01001,p01001-d-hab-1,"Em geral, o(a) Sr(a) costuma comer esse tipo de verdura ou legume: "
488,p01101,p01101-d-hab-2,"Em quantos dias da semana o(a) Sr(a) costuma comer carne vermelha (boi, porco, cabrito, bode, ovelha etc.)? "
489,p013,p013-d-hab-3,Em quantos dias da semana o(a) Sr(a) costuma comer frango/galinha? 
490,p015,p015-d-hab-4,Em quantos dias da semana o(a) Sr(a) costuma comer peixe? 
491,p01601,p01601-d-hab-5,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de fruta natural (incluída a polpa de fruta congelada)? 
492,p018,p018-d-hab-6,Em quantos dias da semana o(a) Sr(a) costuma comer frutas? 
493,p019,p019-d-hab-7,"Em geral, quantas vezes por dia o(a) Sr(a) come frutas? "
494,p02001,p02001-d-hab-8,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de caixinha/lata ou refresco em pó ? 
495,p02002,p02002-d-hab-9,Em quantos dias da semana o(a) Sr(a) costuma tomar refrigerante? 
496,p02101,p02101-d-hab-10,Que tipo de suco de caixinha/lata ou refresco em pó o(a) Sr(a) costuma tomar? (Ler as opções de resposta) 
497,p02102,p02102-d-hab-11,Que tipo de refrigerante o(a) Sr(a) costuma tomar? 
498,p023,p023-d-hab-12,"Em quantos dias da semana o(a) Sr(a) costuma tomar leite? (de origem animal: vaca, cabra, búfala etc.) "
499,p02401,p02401-d-hab-13,Que tipo de leite o(a) Sr(a) costuma tomar? 
500,p02501,p02501-d-hab-14,"Em quantos dias da semana o(a) Sr(a) costuma comer alimentos doces como biscoito/bolacha recheado, chocolate, gelatina, balas e outros?"
501,p02601,p02601-d-hab-15,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é:"
502,p02602,p02602-d-hab-16,"Em quantos dias da semana o(a) Sr(a) costuma substituir a refeição do almoço por lanches rápidos como sanduíches, salgados, pizza, cachorro quente, etc? "
503,p027,p027-alcool-hab-1,Com que frequência o(a) Sr(a) costuma consumir alguma bebida alcoólica?
504,p02801,p02801-alcool-hab-2,Quantos dias por semana o(a) Sr(a) costuma consumir alguma bebida alcoólica? 
505,p029,p029-alcool-hab-3,"Em geral, no dia que o(a) Sr(a) bebe, quantas doses de bebida alcoólica o(a) Sr(a) consome? "
506,p03001,p03001-alcool-hab-4,"Nos últimos doze meses, quando consumiu bebida alcoólica, o(a) Sr(a) dirigiu logo depois de beber? "
507,p03201,p03201-alcool-hab-5,"Nos últimos trinta dias, o(a) Sr(a) chegou a consumir cinco ou mais doses de bebida alcoólica em uma única ocasião? "
508,p03202,p03202-alcool-hab-6,"Quando isso ocorreu, qual foi o número máximo de doses consumido em uma única ocasião?"
509,p03301,p03301-alcool-hab-7,"Nos últimos doze meses, quantas vezes o(a) Sr(a) deixou de trabalhar, realizar afazeres domésticos, ir à escola, curso ou faculdade, fazer compras, etc. porque bebeu demais? "
510,p03302,p03302-alcool-hab-8,"Nos últimos doze meses, quantas vezes, depois/após ter bebido, o(a) Sr(a) não conseguiu lembrar o que aconteceu? "
511,p03303,p03303-alcool-hab-9,"Nos últimos doze meses, algum parente, amigo ou profissional de saúde disse que você estava bebendo demais ou para você parar de beber? "
512,p034,p034-af-hab-1,"Nos últimos três meses, o(a) Sr(a) praticou algum tipo de exercício físico ou esporte? "
513,p035,p035-af-hab-2,Quantos dias por semana o(a) Sr(a) costuma  (costumava)praticar exercício físico ou esporte?
514,p036,p036-af-hab-3,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado) 
515,p03701,p03701-af-hab-4,"Em geral, no dia que o(a) Sr(a) pratica exercício ou esporte, quanto tempo em horas dura essa atividade? Horas "
516,p03702,p03702-af-hab-5,"Em geral, no dia que o(a) Sr(a) pratica (praticava) exercício ou esporte, quanto tempo em minutos dura essa atividade?Minutos "
517,p038,p038-af-hab-6,"No seu trabalho, o(a) Sr(a) anda bastante a pé? "
518,p039,p039-af-hab-7,"No seu trabalho, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso? "
519,p03904,p03904-af-hab-8,"Em uma semana normal, em quantos dias, o(a) Sr(a) anda bastante a pé ou faz essas atividades pesadas ou que requerem esforço físico no seu trabalho?"
520,p03905,p03905-af-hab-9,"Em um dia normal, quanto tempo o(a) Sr(a) passa andando bastante a pé ou realizando essas atividades pesadas ou que requerem esforço físico no seu trabalho?Horas "
521,p03906,p03906-af-hab-10,"Em um dia normal, quanto tempo o(a) Sr(a) passa andando bastante a pé ou realizando atividades essas atividades pesadas ou que requerem esforço físico no seu trabalho? Minutos"
522,p040,p040-af-hab-11,"Para ir ou voltar do trabalho, o(a) Sr(a) faz algum trajeto a pé ou de bicicleta? "
523,p04001,p04001-af-hab-12,Quantos dias por semana o(a) Sr(a) faz algum trajeto a pé ou bicicleta? 
524,p04101,p04101-af-hab-13,"Quanto tempo o(a) Sr(a) gasta, por dia, para percorrer este trajeto a pé ou de bicicleta, considerando a ida e a volta do trabalho?Horas "
525,p04102,p04102-af-hab-14,"Quanto tempo o(a) Sr(a) gasta, por dia, para percorrer este trajeto a pé ou de bicicleta, considerando a ida e a volta do trabalho?Minutos"
526,p042,p042-af-hab-15,"Nas suas atividades habituais (tais como ir a algum curso, escola ou clube ou levar alguém a algum curso, escola ou clube), quantos dias por semana o(a) Sr(a) faz alguma atividade que envolva deslocamento a pé ou bicicleta? (Exceto o trabalho)"
527,p04301,p04301-af-hab-16,"No dia em que o(a) Sr(a) faz essa(s) atividade(s), quanto tempo o(a) Sr(a) gasta no deslocamento a pé ou de bicicleta, considerando Ida e Volta?Horas"
528,p04302,p04302-af-hab-17,"No dia em que o(a) Sr(a) faz essa(s) atividade(s), quanto tempo o(a) Sr(a) gasta no deslocamento a pé ou de bicicleta, considerando Ida e Volta?Minutos"
529,p044,p044-af-hab-18,"Nas suas atividades domésticas, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso? (não considerar atividade doméstica remunerada) "
530,p04401,p04401-af-hab-19,"Em uma semana normal, nas suas atividades domésticas, em quantos dias o(a) Sr(a) faz faxina pesada ou realiza atividades que requerem esforço físico intenso? (não considerar atividade doméstica remunerada)"
531,p04405,p04405-af-hab-20,"Quanto tempo gasta, por dia, realizando essas atividades domésticas pesadas ou que requerem esforço físico intenso? (não considerar atividade doméstica remunerada) Horas "
532,p04406,p04406-af-hab-21,"Quanto tempo gasta, por dia, realizando essas atividades domésticas pesadas ou que requerem esforço físico intenso? "
533,p04501,p04501-af-hab-22,"Em média, quantas horas por dia o(a) Sr(a) costuma ficar assistindo televisão? "
534,p04502,p04502-af-hab-23,"Em um dia, quantas horas do seu tempo livre (excluindo o trabalho), o(a) Sr(a) costuma usar computador, tablet ou celular para lazer, tais como: utilizar redes sociais, para ver notícias, vídeos, jogar etc? "
535,p046,p046-af-hab-24,"Perto do seu domicílio, existe algum lugar público (praça, parque, rua fechada, praia) para fazer caminhada, realizar exercício ou praticar esporte? "
536,p04701,p04701-af-hab-25,O(A) Sr(a) conhece algum programa público de estímulo à prática de atividade física no seu município? 
537,p04801,p04801-af-hab-26,O(A) Sr(a) participa desse programa público de estímulo à prática de atividade física no seu município? 
538,p04902,p04902-af-hab-27,Qual o principal motivo de não participar? 
